satellite,hour,hour_local,el,az,stec_absolute,vtec
G09,6.4917,21.4917,63.1569,91.0228,14.7446,13.3690
G09,6.4958,21.4958,63.0424,91.0812,14.7645,13.3757
G09,6.5000,21.5000,62.9280,91.1397,14.8139,13.4089
G09,6.5042,21.5042,62.8135,91.1982,14.8557,13.4351
G09,6.5083,21.5083,62.6991,91.2566,14.9177,13.4795
G09,6.5125,21.5125,62.5848,91.3152,15.0010,13.5429
G09,6.5167,21.5167,62.4704,91.3737,15.0385,13.5649
G09,6.5208,21.5208,62.3561,91.4323,15.0748,13.5857
G09,6.5250,21.5250,62.2418,91.4908,15.1561,13.6469
G09,6.5292,21.5292,62.1276,91.5494,15.1847,13.6605
G09,6.5333,21.5333,62.0133,91.6081,15.2265,13.6859
G09,6.5375,21.5375,61.8991,91.6667,15.3109,13.7496
G09,6.5417,21.5417,61.7850,91.7254,15.3662,13.7868
G09,6.5458,21.5458,61.6708,91.7840,15.4392,13.8398
G09,6.5500,21.5500,61.5567,91.8427,15.5053,13.8865
G09,6.5542,21.5542,61.4426,91.9014,15.5765,13.9376
G09,6.5583,21.5583,61.3286,91.9601,15.6403,13.9819
G09,6.5625,21.5625,61.2146,92.0189,15.7461,14.0636
G09,6.5667,21.5667,61.1005,92.0776,15.7812,14.0819
G09,6.5708,21.5708,60.9866,92.1364,15.8343,14.1163
G09,6.5750,21.5750,60.8727,92.1952,15.8790,14.1431
G09,6.5792,21.5792,60.7587,92.2540,15.9247,14.1705
G09,6.5833,21.5833,60.6449,92.3128,15.9650,14.1931
G09,6.5875,21.5875,60.5310,92.3716,16.0114,14.2210
G09,6.5917,21.5917,60.4172,92.4305,16.0486,14.2406
G09,6.5958,21.5958,60.3034,92.4893,16.0463,14.2251
G09,6.6000,21.6000,60.1896,92.5482,16.0897,14.2500
G09,6.6042,21.6042,60.0759,92.6071,16.1011,14.2465
G09,6.6083,21.6083,59.9622,92.6660,16.0767,14.2113
G09,6.6125,21.6125,59.8485,92.7249,16.0826,14.2029
G09,6.6167,21.6167,59.7349,92.7838,16.0936,14.1989
G09,6.6208,21.6208,59.6213,92.8427,16.1220,14.2101
G09,6.6250,21.6250,59.5077,92.9017,16.1484,14.2196
G09,6.6292,21.6292,59.3942,92.9606,16.1278,14.1876
G09,6.6333,21.6333,59.2806,93.0196,16.1305,14.1760
G09,6.6375,21.6375,59.1671,93.0786,16.1058,14.1404
G09,6.6417,21.6417,59.0537,93.1376,16.1425,14.1586
G09,6.6458,21.6458,58.9402,93.1966,16.1556,14.1560
G09,6.6500,21.6500,58.8268,93.2555,16.1201,14.1109
G09,6.6542,21.6542,58.7135,93.3146,16.0747,14.0570
G09,6.6583,21.6583,58.6001,93.3736,16.0804,14.0479
G09,6.6625,21.6625,58.4868,93.4326,16.0160,13.9776
G09,6.6667,21.6667,58.3735,93.4917,16.0207,13.9675
G09,6.6708,21.6708,58.2603,93.5507,16.0233,13.9556
G09,6.6750,21.6750,58.1471,93.6098,16.0001,13.9212
G09,6.6792,21.6792,58.0339,93.6688,16.0154,13.9203
G09,6.6833,21.6833,57.9207,93.7279,16.0011,13.8936
G09,6.6875,21.6875,57.8076,93.7870,15.9604,13.8440
G09,6.6917,21.6917,57.6945,93.8461,15.9481,13.8190
G09,6.6958,21.6958,57.5814,93.9052,15.9486,13.8051
G09,6.7000,21.7000,57.4684,93.9643,15.9097,13.7571
G09,6.7042,21.7042,57.3554,94.0233,15.9021,13.7362
G09,6.7083,21.7083,57.2424,94.0825,15.9220,13.7390
G09,6.7125,21.7125,57.1295,94.1416,15.9187,13.7217
G09,6.7167,21.7167,57.0166,94.2007,15.9418,13.7271
G09,6.7208,21.7208,56.9037,94.2598,15.9358,13.7073
G09,6.7250,21.7250,56.7908,94.3190,15.9782,13.7292
G09,6.7292,21.7292,56.6780,94.3781,15.9580,13.6972
G09,6.7333,21.7333,56.5652,94.4372,15.9904,13.7103
G09,6.7375,21.7375,56.4524,94.4964,15.9693,13.6775
G09,6.7417,21.7417,56.3397,94.5555,15.9519,13.6478
G09,6.7458,21.7458,56.2270,94.6147,15.9284,13.6130
G09,6.7500,21.7500,56.1144,94.6738,15.8916,13.5668
